,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
541,29489,Nike,나이키 덩크 하이 화이트 바시티 메이즈,45,0,33.3333,50000,70000,200000,300000,200000,66000,49.2537,2,225,320,Varsity Maize/White/Black,2011-08-01T00:00:00Z,men,133700,KRW,"133,700원",Nike Dunk High White Varsity Maze,99,EUR,€ 99,317982-703
542,23946,Nike,나이키 덩크 하이 프리미엄 얼티밋 글로리 차베즈,44,3,,,125000,350000,359000,350000,221000,171.318,1,215,320,VERSITY-RED/VERSITY-RD-VERSITY RD,2008-10-17T00:00:00Z,men,,KRW,,Nike Dunk High Premium Ultimate Glory,129000,KRW,"129,000원",323955-661
543,669,Nike,나이키 x 스투시 덩크 SB 로우 체리,642,52,6.78571,190000,2750000,2990000,4000000,2990000,2807200,1535.67,3,215,310,Shy Pink/Vanilla,2005-07-01T23:59:59Z,men,188700,KRW,"188,700원",Nike x Stussy Dunk SB Low Cherry,150,USD,$150 ,304292-671
544,463,Nike,나이키 SB 덩크 로우 프로 밴드 에이드,41,0,,,234000,,1440000,,,,0,225,320,light bone/flint grey,2004-02-01T23:59:59Z,men,81700,KRW,"81,700원",Nike SB Dunk Low Pro Band aid,65,USD,$65 ,304292-006
545,62419,Nike,나이키 덩크 하이 레트로 SE 애슬레틱 클럽 그레이 레드,29,0,30,45000,106000,195000,270000,195000,56600,40.896,2,225,320,White/Grey/Red,2022-05-21T00:00:00Z,men,138400,KRW,"138,400원",Nike Dunk High Retro SE Athletic Club Grey Red,110,USD,$110 ,DJ6152-001
546,61116,Nike,(W) 나이키 덩크 로우 화이트 워시드 틸,22,0,,,250000,,320000,,,,0,220,290,White/Washed Teal-Kunquat,2022-05-01T00:00:00Z,women,125800,KRW,"125,800원",(W) Nike Dunk Low White Washed Tea,100,USD,$100 ,DV2190-100
547,55011,Nike,나이키 x 언더커버 덩크 하이 1985 화이트,38,1,,,190000,,399000,,,,0,230,320,White/White-Black,2022-02-28T00:00:00Z,men,187100,KRW,"187,100원",Nike x Undercover Dunk High 1985White,18900,JPY,"¥18,900",DQ4121-100
548,46461,Nike,나이키 x 파밀리아 SB 덩크 로우 퍼스트 애비뉴,146,4,15.3846,100000,500000,750000,600000,750000,622400,487.774,4,230,320,Black/Voltage Purple-White,2021-12-11T00:00:00Z,men,125800,KRW,"125,800원",Nike x Familia SB Dunk Low First Avenue,100,USD,$100 ,DJ1159-001
549,48653,Nike,나이키 덩크 스크랩 프리미엄 블랙 화이트 유니버시티 레드,34,0,,,130000,,300000,,,,0,230,320,Black/White-Neutral Grey-University Red,2021-11-28T00:00:00Z,men,205000,KRW,"205,000원",Nike Dunk Scrap PRM Black White University Red,129,GBP,￡129,DN1775-001
550,43323,Nike,나이키 SB 덩크 하이 프로 ISO 오렌지 라벨 내츄럴,106,4,18.0952,38000,195000,248000,200000,248000,90500,57.4603,6,230,320,NATURAL/WHITE-NATURAL,2021-10-13T00:00:00Z,men,158900,KRW,"158,900원",Nike SB Dunk High Pro ISO Orange Label Natural,100,GBP,￡100,DA9626-100
